experiment_id,created_at,status,description,model,profile,sparsity,pass,config_path,config_sha256,last_updated_at,result_path
r2-smoke-sna-p0-d2ea6bd2,2026-08-25T15:59:08-07:00,succeed,Legacy H2O plumbing smoke for the 291-feature R2 pipeline on omegaB97M-V/def2-QZVPPD.,r2,smoke,na,0,experiments/r2-smoke-sna-p0-d2ea6bd2/config.yaml,d2ea6bd251d46880e0145e6b098288fc2765da4ff84bbc868897ddd362dcdf73,2026-08-25T16:34:34-07:00,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/smoke/h2o/validation.json
r2-smoke-sna-p0-fb367df0,2026-08-25T17:14:16-07:00,succeed,"Legacy balanced H2/H4 reaction smoke validating stoichiometry, Nofit algebra, and 291-column reconstruction.",r2,smoke,na,0,experiments/r2-smoke-sna-p0-fb367df0/config.yaml,fb367df0a0e00c5bd17ad6fea5ba58e235b0ed7c67414b01a5e24933a4160cb5,2026-08-25T17:25:09-07:00,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/reaction_smoke/processed/validation.json
